Soru	Şık A	Şık B	Şık C	Şık D	Şık E	Doğru Cevap
Dergilerin hemen hepsi şiirle dolu, çoğu da doğrusu çekiyor insanı. Tatlı tatlı söylüyor yeni şairlerimiz, rahatça diyorlar diyeceklerini, süssüz, sade... Nesre geldi mi öyle değil. Bilginler, okkalı okkalı kelimelerle uzun uzun, yamru yumru cümleler kuruyorlar. Kesin, iri lakırdılara döküyorlar işi. Yukarıdaki parçada aşağıdaki anlatım tekniklerinden hangileri kullanılmıştır?	Tanımlama-örnekleme	Karşılaştırma-tartışma	Örneklendirme-öyküleme	Açıklama-örnekleme	Tartışma-öyküleme	B
Komşu bahçeden balkonumuza hücum eden erikler beni âdeta hırsızlığa davet ediyor. Buna hırsızlık denir mi, bilemiyorum. Bir ara kafam gürledi. Şunları kırmayayım dedim, belki de kendimi! Yemyeşil salkım sö­ğüt... Alıp birkaç tane bakayım tadına. Gerçi güneşin de etkisiyle zümrüdü andırırcasına parıl parıl parlayan yanakları ekşi olduklarını haykırıyordu. İçerden çocuğun feryadıyla kendime geldim. Böylece suç dosyamın kabarmasını ertelemiş oldum. Bu parçanın anlatımı için aşağıdakilerden hangisi söylenemez?	Betimlemelere yer verilmiştir.	Kişileştirme yapılmıştır.	Tatma duyusu söz konusudur.	Karşılaştırma ağır basmaktadır.	Benzetme yapılmıştır.	D
Boyacı çocuk, Coşkun'un ayakkabılarını boyuyordu. Coşkun, son aldığı arabasını seyrediyordu. Özgül, Coşkun'un önünden de geçti. Coşkun bakışlarını elinde olmayarak ona yöneltti. Ama ona bakan kimdi? Bu paragrafta aşağıdaki anlatım biçimlerinden hangisi kullanılmıştır?	Açıklama	Tanık gösterme	Öyküleme	Karşılaştırma	Betimleme	C
Serin bir sonbahar akşamıydı. Bin bir zorlukla Maraş'tan Elbistan'a kadar gelmeyi başarmış bir yolcu, kendini mahalle kahvesinden içeri attı. Sigara dumanının bir sis gibi çöktüğü dar mekân, kapıdan içeri dolan havayla serinledi. İçerde oturanlar, başlarını çevirip nefes nefese kalmış, yorgun yolcuya baktılar. Bu parçanın anlatımında aşağıdakilerin hangisinden yararlanılmıştır?	Tartışma - Açıklama	Öyküleme - Betimleme	Açıklama - Örnekleme	Açıklama - Öyküleme	Öyküleme - Karşılaştırma	B
Kültür, insanın maddi ve manevi üretiminde gerçekleşen etkin, yaratıcı faaliyettir; öyle ki bu faaliyet süreci içinde, toplumsal önemde maddi ve manevi değerler yaratılırken, insanın yaratıcı etkinliği de bu değerlerin tümünde kendi nesnelleşmesini bulur. Yukarıdaki paragrafta aşağıdakilerden hangisi yapılmak istenmiştir?	Betimleme	Çözümleme	Tanımlama	Örnekleme	Açıklama	C
İkisi de inançlarında kesindirler. Biri sanır ki kendi siyasal beklentilerine uygun bir düzen kuruldu mu her şey bir anda tozpembe olur ve ulusun önünde bir refah, bir huzur çağı açılır. Öbürü de inanır ki bir kere bilimsel dediği düzen kuruldu mu -ortam ve kadrolar nasıl olursa olsun- bir anda ülke cennete döner ve bütün davalar halledilmiş olur. Paragrafın anlatımında aşağıdakilerden hangisine ağırlık verilmiştir?	Örnekleme	Karşılaştırma	Eleştirme	Tanımlama	Tartışma	B
Eskiyi sevenler, yaşatmak isteyenlere bir bakın, neden Yunus Emre'nin, Pir Sultan Abdal'ın Türkçesini kullanmak, yaşatmak istemezler, o yolda çalışmazlar? Eskiyi savunanlar böyle bir soru karşısında "Onlar bugün için unutulmuş eski Türkçe sözlerdir, onları diriltemeyiz." derler. Peki, divan şairlerinin dili unutulmadı mı? Bugün eskiyi savunanlardan hangisi sevdiği birisine Baki'nin diliyle mektup yazabilir? Bu paragrafın anlatımında hangi anlatım biçimine yer verilmiştir?	Tartışmaya	Açıklamaya	Açıklayıcı öykülemeye	Tanıtmaya	Öğretici betimlemeye	A
Salvador Dali, bütün ustalık çeşitlerini bilmesine karşın sadece çağının akımları içinde değerlendirilebilen bir ressamdır. Pablo Picasso ise hem eski hem yeni olabilme özelliğiyle zamana bağlı kalmaktan kurtulmuştur. Picasso, sizi size; Dali ise kendine baktırır. Yukarıdaki parçada düşünceyi geliştirme yollarından hangisine ağırlık verilmiştir?	Tanımlama	Benzetme	Karşılaştırma	Örneklendirme	Tanık gösterme	C
Aylık güncelliği olan bir dergide yayımlanıyor yazılarım. Orta uzunluktaki bu yazılarda, bahsettiğim konuyla ilgili görüş ve düşüncelerimi ayrıntılara inmeden ortaya koyuyorum. Amacım okurlarımı bunaltmadan anlaşılmak olduğu için de konuşma dilinin sıcaklığı ve samimiyetinden faydalanmaya gayret ediyorum. Böyle konuşan bir sanatçının yazılarının türü aşağıdakilerden hangisiyle isimlendirilebilir?	Anı	Söyleşi	Röportaj	Makale	Eleştiri	B
Aşağıdakilerden hangisinde bilgi yanlışı vardır?	Karalama Defteri adlı eser Suut Kemal Yetkin tarafından sohbet türünde yazılmış bir eserdir.	Ele aldıkları konulara göre röportajlar; siyasî röportajlar edebî röportajlar eğitim röportajları vb. çeşitlenmektedir.	Sohbet türünde yazılan yazılarda yazar düşüncelerini muhakkak kabul ettirmek için okuyucularını zorlamaz.	Ahmet Rasim'in Ramazan Sohbetleri adlı eseri sohbet türüne bir örnektir.	Söyleşi (sohbet) türündeki yazılarda samimiyet esastır.	A
