Soru	Şık A	Şık B	Şık C	Şık D	Şık E	Doğru Cevap
Prof. Dr. Atilla Aydınlı'nın "Bilim Teknoloji ve Türkçe" başlıklı makalesine göre ülkemizde İngilizce öğreniminin son on beş yılda çok artmasına gerekçe olarak sunulanlar arasında aşağıdakilerden hangisi yer almaz?	Çağdaş medeniyet seviyesini yakalamak	Millî sanatlarımızı başkalarına daha iyi tanıtabilmek	İngilizceyi uluslar arası bilim dili olarak görmek	Türkçenin bilim dili olmadığına inanmak	Bilim ve teknolojiyi daha iyi anlamak	B
Görüldüğü gibi, insanın beden varlığı dünyanın herhangi bir yerinde... (parça) Yukarıdaki paragraf aşağıdaki hangi makaleden alınmış olabilir?	Türklerin Ana Yurdu Türkçedir, Prof. Dr. Günay Karaağaç	Türkçenin Sırları, Nihat Sami Banarlı	Türkçe Yazmak Türkçe Okumak, Prof. Dr. Ahmet Aykut	Türkçe Katliamı, İlhan Bardakçı	Bilim, Teknoloji ve Türkçe, Prof. Dr. Atilla Aydınlı	A
Sait Faik, "Lüzumsuz Adam" öyküsünün sonunda aşağıdakilerden hangisini yaparak öyküyü bitirir?	Yahudi kadının kahvesine gider; hem kahve içer hem de kadınla Fransızca sohbet etmenin keyfini yaşar	Gazinoya gider; garson kızı, Laz meyhaneciyi, uyuklayan yaşlı adamı ve zurnacıyı seyretmeye başlar	Yedi yıldan sonra ilk kez hamama gidip yıkanır; hem rahatlar hem de ne kadar kirlenmiş olduğuna şaşar	İşkembeciye gider; yıllardır içmediği sirkeli sarımsaklı çorbanın güzelliğini anımsayıp keyfe dalar	Her görüşünde içini hoplatan Yahudi kızın evinin önüne gidip onun kapı önüne çıkmasını bekler	C
Elif Şafak "İnşallah Kelimesi" adlı köşe yazısında aşağıdakilerden hangisinden bahsetmez?	İnşallah kelimesini cümleye temenni ve tevazu anlamı kattığı için kullandığından	Türkiye'de bazı kelimelere ideolojik olarak yaklaşıldığından	Kelimelerin mülkü olmadığından	Herkesin kelimelere keyfî anlam yükleme özgürlüğünün olması gerektiğinden	Bazı kelimelerin evrensel olduklarından, her ülkede aynı anlamı verdiklerinden	D
Erkan Türkoğlu'nun "Dört Dakika İçin Bile Olsa Okuyabilmek" adlı köşe yazısı ile ilgili olarak aşağıdakilerden hangisi söylenemez?	Yazar, okumaya her durumda zaman ayrılabileceğini görme engelli birine dair gözlemlerini sunarak daha çarpıcı bir biçimde vermeye çalışmıştır	Yazar görme engelli vatandaşların okumasına yardımcı olacak gönüllülerin azlığından yakınmaktadır	Yazı, yazarın gündelik hayatından kesitler sunar	Konuşma diliyle, okurla sohbet havasında yazılmıştır	Yazar, görme engelli kadın üzerinden şükretmenin önemini ve okumanın kıymetini bilmek gerektiğini vurgular	B
Luigi Pirandello'dan "Seçme Hikâyeler"de böyle ufak tefek kusurlar var... (parça) Aşağıdakilerden hangisi Nurullah Ataç'ın yukarıda bir bölümü verilen "Sözden Söze" adlı yazısının söyleşi türünde olduğunu düşündürmez?	Yazarın, düşüncelerini kabul ettirmek için okuyucularını zorlamayışı	Olumlu bir eleştiri havası taşıması	Yazarın kendi düşüncelerini ileri sürmesi	Konuşma havası içinde olması	Senli benli ifadeler içermesi	E
İlhan Bardakçı'nın "Türkçe Katliamı" adlı söyleşisiyle ilgili olarak aşağıdakilerden hangisi söylenemez?	Yazar aynı kuşağın insanlarının bile birbirini anlamadığından bahsederek dilin kullanımındaki özensizlik konusunda sitemlerde bulunur	Doğru bir şekilde Türkçe yazmak ve konuşmayı meşakkatli bir iş olan iyi bir beste yaratmaya benzetir	Yazar, "ithal malı aydınlar" tamlamasını kullanarak yazısına polemikçi bir hava katmıştır	Yazar, Türk dili sevdalısı olmayı belli bir ideolojiye bağlamıştır	Yazar, Fransızca ve İngilizcenin kendini korumayı başarırken Türkçenin unutulup gittiğinden yakınır	D
İş günü süresince tutsak olduğumuz gerçeğini o kadar kabullenmişizdir ki... (parça) Yukarıdaki parça, aşağıdaki yazıların hangisinden alınmış olabilir?	Sözden Söze	Falaka	Şehidin Kızından Mektup	Geceye Övgü	Acıların Çocuğu	D
Nurdan Gürbilek "Acıların Çocuğu" başlıklı yazısında Kemalettin Tuğcu'nun romanlarındaki çocukları değerlendirirken aşağıdakilerden hangisini söylemez?	Çocuklar erken yaşta büyük sorumluluklar üstlenerek ailelerini ayakta tutmaya çalışırlar	Çocukların hemen hepsi, başlarına sonradan gelmiş bir felaket yüzünden acı çekerler	Çocukların anneleri daima iyi ama güçsüz, küçük kız kardeşleri daima hastadır	Çocuklar yaşadıkları zorluklara rağmen iyi kalpli, vicdanlı, mazlum ve mahzundurlar	Çocuklar iyi geçirilmiş bir çocukluğun ardından yaşadıkları acılarla köy ortamında yapayalnız kalmışlardır	E
Eski mahalle mektebindeki anılarını anlattığı "Falaka"da, Ahmet Rasim'in okuldaki ilk günlerinde dikkatini en çok çeken şey, aşağıdakilerden hangisidir?	Hocalardan birine "Pehlivan" diye isim takılması	Sınıfta kendisinin oturması için bir minder ayrılması	Okulda yerlerine oturduktan sonra öğrencilere para verilmesi	Diğer öğrenciler arasında kendisine ayrıcalık tanınması	Mushaf okurken çocukların iki yana sallanmaları	E
