Soru	Şık 1	Şık 2	Şık 3	Şık 4	Şık 5	Cevap
Romanı, "halkı eğlendirerek eğitmek" için en iyi yol olarak görerek düşünce ve bilgilerin aktarılması için bir araç olarak kullanmaya çalışan yazar aşağıdakilerden hangisidir?	Şinasi	Sami Paşazade Sezai	Ahmet Mithat	Namık Kemal	Şemsettin Sami	Ahmet Mithat
Aşağıdaki eserlerden hangisi Hüseyin Rahmi Gürpınar'a ait değildir?	Mürebbiye	Utanmaz Adam	Ben Deli Miyim?	Genç Kız Kalbi	Şıpsevdi	Genç Kız Kalbi
Fatma Aliye Hanım'ın "bir kadının ilk aşkını unutamayacağı" düşüncesini işlediği romanı aşağıdakilerin hangisidir?	Muhâdarat	Hayal ve Hakikat	Refet	Enin	Udi	Muhâdarat
Yukarıdaki paragrafta aşağıdakilerden hangisi yapılmak istenmiştir?	Betimleme	Tanımlama	Açıklama	Çözümleme	Örnekleme	Tanımlama
Bu paragrafta aşağıdaki anlatım tekniklerinin hangileri söz konusudur?	Açıklama-Örneklendirme	Tanık gösterme-Örneklendirme	Örneklendirme-Tartışma	Tartışma-Açıklama	Benzetme-Tanık gösterme	Tanık gösterme-Örneklendirme
Türk romancılığında gerçeğe uygun bireylerin ele alınmasına, romanın bireye yönelmesine öncülük eden eser aşağıdakilerden hangisidir?	Kuyruklu Yıldız Altında Bir İzdivaç	Mai ve Siyah	Eylül	Genç Kız Kalbi	Aşk-ı Memnu	Aşk-ı Memnu
Biyografilerin belgesel boyutu aşağıdakilerden hangisinden kaynaklanır?	Anlatılan kişinin yaşadığı dönemi etkilemiş olmasından	Ele alınan kişinin kendi alanında tanınan, değerli bir insan olmasından	Biyografi yazarlarının yansız davranmaya özen gösteren kişiler olmasından	Yaşam öyküsü yazılacak kişiye ait belgelere dayandırılmış olmasından	Kişiyle ilgili olarak bir dönemin siyasal, edebî ortamının ele alınmış olmasından	Yaşam öyküsü yazılacak kişiye ait belgelere dayandırılmış olmasından
Aşağıdakilerden hangisi günce (günlük) türünü anı türünden ayıran temel özelliktir?	Günceye yazarın psikolojik durumu yansımaz.	Güncede olaylar ve çevre daha geniş olarak ele alınır	Günce, yazarın yaşadığı veya tanık olduğu olayları konu alır.	Güncede olay, yaşandığı gün yazılır ve çoğu kez günün tarihini içerir.	Günceler belirli seviyelerde görev almış kişilerce yazılır.	Güncede olay, yaşandığı gün yazılır ve çoğu kez günün tarihini içerir.
Deneme türünü sohbet türüne en çok yaklaştıran özellik aşağıdakilerden hangisidir?	Bilgi verme amacıyla yazılması	Duyguları dile getirmesi	Paylaşımcı ve içten bir üslupla yazılması	Düşünceleri açıkça ortaya koyması	İnandırıcı ve ikna edici oluşu	Paylaşımcı ve içten bir üslupla yazılması
“Oğuz Atay’ın Biyografik ve Kurmaca Dünyası” yazarının, “Oğuz Atay’ın Yeniköy’deki evinin salonunun nefti olan duvar renginin ‘mor’ olduğundan yüzde yüz emin olan yaşam tanığı; ‘Tutunamayanlar’ı Atay’la birlikte TRT’ye götürüp roman yarışmasına kaydettirdiklerini söyleyen, hatta yolda neler konuştuklarını bile anlatan” kişilerin varlığından söz ediş nedeni aşağıdakilerden hangisidir?	Ölmüş yazarların başarılarından kendine pay çıkarmak isteyenlerin varlığını anlatmak	Anıların, insanların zihninde değişime uğrayarak kurgulandığını anlatmak	Ünlülerle yakınlığı olduğunu göstermeye meraklı insanları örneklemek	Gerçeği saptırmak amacında olanlara her zaman rastlanabileceğini göstermek	Atay’ın roman kahramanlarıyla çevresindekilerin birbirine benzediğini göstermek	Anıların, insanların zihninde değişime uğrayarak kurgulandığını anlatmak.
Aşağıdakilerden hangisi, ilk Türk romanını yazan edebiyatçımıza ait değildir?	Orhun Yazıtları üzerine araştırmalar	Kamusü’l-A’lâm adlı ansiklopedi	Kutadgu Bilig üzerine çalışma	Tercüman-ı Hakikat gazetesi	Kamus-ı Türkî sözlüğü	Tercüman-ı Hakikat gazetesi
Aşağıdaki seçeneklerin hangisinde Namık Kemal'e ilişkin bilgi doğru değildir?	Orhun Yazıtları ve "Kutadgu Bilig" ile ilgili ilk çalışmaları yapanlar arasında yer aldı.	Yeni Osmanlılar Cemiyeti'nin fikirlerini yaymak amacıyla çıkardığı Muhbir gazetesinde çalıştı.	1862 yılında Tercüme Odası'na kâtip olarak girmesiyle Batı etkisindeki kişilerle tanıştı.	Asıl adı Mehmet Kemal olan yazar 21 Aralık 1840'ta Tekirdağ'da doğdu.	1865 yılında kurulan daha sonra "Genç Osmanlılar" adını alan İttifak-ı Hamiyet isimli derneğe üye oldu.	Orhun Yazıtları ve "Kutadgu Bilig" ile ilgili ilk çalışmaları yapanlar arasında yer alması bilgisi doğru değildir. Bu çalışmalar Şemsettin Sami'ye aittir.
Aşağıdaki seçeneklerin hangisinde Hüseyin Rahmi Gürpınar'a ilişkin bilgi doğru değildir?	Romanlarında toplumsal ve ekonomik eşitsizlikleri, kadın-erkek ilişkilerini ve din sorunlarını ele aldı.	Halk edebiyatından da yararlanarak olabildiğince geniş bir okur kitlesinin anlayabileceği bir dil kullandı.	Romanlarında çok önem verdiği gözlem ve çevre tasvirinin yanı sıra sosyal tenkide de yer verdi.	Romanlarında Zola’nın deneysel roman tekniğinden yararlanarak eski İstanbul yaşamını bütün canlılığıyla yansıttı.	Tekniği kusursuz olan romanlarında İstanbul'un lüks semtlerindeki hayat tarzını karikatürize etti.	Tekniği kusursuz olan romanlarında İstanbul'un lüks semtlerindeki hayat tarzını karikatürize etti.
Önce kadın psikolojisini inceleyen aşk romanları yazan, sonra Kurtuluş Savaşı konulu eserler veren, son döneminde ise töre romanlarıyla ülkenin toplumsal gelişimini yansıtan sanatçı aşağıdakilerden hangisidir?	Halide Edip	Yakup Kadri	Refik Halit	Reşat Nuri	Ömer Seyfettin	Halide Edip
Ön sözünde "Hakikiyyun mesleğinde yazılmış roman mütalaa etmemiş iseniz işte size bir tane ben takdim edeyim." sözleriyle sunulan; köyü ve köylüyü Türk edebiyatına sokan roman aşağıdakilerden hangisidir?	Zehra	Karabibik	Taaşşuk-ı Talat ve Fitnat	Köylü Kızların Şarkısı	Zavallı Kız	Karabibik
Bu parçaya göre günümüz gazetecilerinin insanlığa ilettikleri aşağıdakilerden hangisiyle adlandırılabilir?	Fıkra	Röportaj	Eleştiri	Makale	Gezi yazısı	Röportaj
Yukarıdaki parçanın anlatımında aşağıdaki aşağıdakilerden hangisine başvurulmuştur?	Açıklama - Betimleme	Öyküleme - Karşılaştırma	Açıklama - Tartışma	Betimleme - Öyküleme	Tanımlama - Betimleme	Betimleme - Öyküleme
Aşağıdakilerin hangisinde Halit Ziya Uşaklıgil'e ilişkin yanlış bilgi verilmiştir?	En önemli romanı "Aşk-ı Memnu" günümüzde de en başarılı Türk romanlarından biri kabul edilir.	"Aşk-ı Memnu" ile Türk romanına sahici bireyleri sokar ve romanı artık gerçek konusuna, bireye yöneltir.	"Aşk-ı Memnu"da varlıklı bir ailenin Batılı yaşama biçimini, sorunlarını, ilişkilerini başarıyla yansıtır.	O zamana kadar yazılmamış olan yasak aşk ilişkisi konusunu, ilk kez "Aşk-ı Memnu"da işler.	Romanlarında özellikle karakter tahlillerinde kullandığı dil son derece akıcı, sade ve etkileyicidir.	Romanlarında özellikle karakter tahlillerinde kullandığı dil son derece akıcı, sade ve etkileyicidir.
Bu parçanın anlatımında aşağıdakilerden hangisinden yararlanılmıştır?	Karşılaştırma	Açıklama	Örnekleme	Öyküleme	Tanık gösterme	Açıklama
Aşağıdakilerden hangisinin türü ötekilerden farklıdır?	Yaşasın Deniz	Ötelerin Çocuğu	Temiz Sevgiler	Mendil Altında	Otlakçı	Yaşasın Deniz
Bu parçada aşağıdaki anlatım tekniklerinden hangilerine başvurulmuştur?	Tartışma - Betimleme	Tanık gösterme - Betimleme	Öyküleme - Benzetme	Tanık gösterme - Benzetme	Açıklama - Tanımlama	Öyküleme - Benzetme
... düşünce yazıları içinde en ağırbaşlı ve zor olan türdür.	gezi	otobiyografi	makale	anı	biyografi	Makale
Aşağıdaki yazar-eser eşleştirmelerinden hangisi yanlıştır?	İntibah - Namık Kemal	Tesadüf - Halit Ziya	Nimetşinas - Hüseyin Rahmi	Gizli El - Reşat Nuri	Define - Mehmet Rauf	Tesadüf - Halit Ziya
Aşağıdakilerden hangisi anlatımın okuyucuya (alıcıya) yönelik amaçlarından biri değildir?	Toplumsal uyum sağlama	Olay içinde yaşatma	Bilgi verme, aydınlatma	İzlenim kazandırma	Kanı, düşünce değiştirme	Toplumsal uyum sağlama
Aşağıdakilerden hangisi edebiyatımızın ilk deneme örneklerinden değildir?	Sait Faik - Mahalle Kahvesi	Refik Halit Karay - Bir Avuç Saçma	Refik Halit Karay - Bir İçim Su	Ahmet Haşim - Bize Göre	Falih Rıfkı Atay-Pazar Konuşmaları	Sait Faik - Mahalle Kahvesi
