Soru	Şık 1	Şık 2	Şık 3	Şık 4	Şık 5	Cevap
Murat Tokay'ın Fazıl Hüsnü Dağlarca röportajında aşağıdakilerden hangisine değinilmemiştir?	Fazıl Hüsnü Dağlarca şiirinin diğer şiir akımlarıyla ilişkisi	Fazıl Hüsnü Dağlarca şiirinin tema zenginliği	Fazıl Hüsnü Dağlarca'nın şairlik serüveni	Fazıl Hüsnü Dağlarca'nın Kadıköy sevgisi	Fazıl Hüsnü Dağlarca şiirinin ses ve söyleyiş olanakları	Fazıl Hüsnü Dağlarca'nın Kadıköy sevgisi
“Romansa Sığmasa da Romans Kürk Mantolu Madonna” adlı yazıda Raif’in kişiliği tahlil edilirken yer verilen “Çocuk ilksel nesnesi anne tarafından reddedildiği ölçüde anneye bağlanacaktır. Zira ihmal edilen çocuğun tercihi ölümle yaşam arasında olduğu için başka bir seçeneği yoktur. Anne tercihi onun yaşam tercihidir.” görüşü, aşağıdakilerin hangisine aittir?	Anna Freud	Darwin	Thomas Gordon	Sigmund Freud	W.R.D. Fairbairn	W.R.D. Fairbairn
Romanı, "halkı eğlendirerek eğitmek" için en iyi yol olarak görerek düşünce ve bilgilerin aktarılması için bir araç olarak kullanmaya çalışan yazar aşağıdakilerden hangisidir?	Şinasi	Sami Paşazade Sezai	Ahmet Mithat	Namık Kemal	Şemsettin Sami	Sorunuzda bahsedilen metinler arasında bu konuyla ilgili bilgi bulunmamaktadır.
Aşağıdaki eserlerden hangisi Hüseyin Rahmi Gürpınar'a ait değildir?	Mürebbiye	Utanmaz Adam	Ben Deli Miyim?	Genç Kız Kalbi	Şıpsevdi	Verilen metinlerde bu soruya cevap bulunmamaktadır.
“Oğuz Atay'ın Biyografi ve Kurmaca Dünyası” yazının, “Oğuz Atay'ın Yeniköy'deki evinin salonunun nefti olan duvar renginin ‘mor’ olduğundan yüzde yüz emin olan yaşam tanığı; ‘Tutunamayanlar’ı Atay’la birlikte TRT’ye götürüp roman yarışmasına kaydettirdiklerini söyleyen, hatta yolda neler konuştuklarını bile anlatan” kişilerin varlığından söz ediş nedeni aşağıdakilerden hangisidir?	Ölmüş yazarların başarılarından kendine pay çıkarmak isteyenlerin varlığını anlatmak	Anıların, insanların zihninde değişime uğrayarak kurgulandığını anlatmak	Ünlülerle yakınlığı olduğunu göstermeye meraklı insanları örneklemek	Gerçeği saptırmak amacında olanlara her zaman rastlanabileceğini göstermek	Atay’ın roman kahramanlarıyla çevresindekilerin birbirine benzediğini göstermek	Anıların, insanların zihninde değişime uğrayarak kurgulandığını anlatmak
“Çanakkale’de Şehit Olan Bir Mehmetçiğin Son Mektubu” ile ilgili olarak aşağıdaki ifadelerden hangisi yanlıştır?	Mektubun yazarı, mektubuna babasına ve annesine hitap ederek başlamıştır.	Mektubun yazarı, o dönemdeki birçok üniversite öğrencisi gibi gönüllü olarak savaşa katılmıştır.	Mektubun yazarı, savaştan önce İstanbul Hukuk Fakültesi son sınıf öğrencisidir.	Mektubun yazarı, Çanakkale’deki savaşta yedek subay olarak görev almıştır.	Mektubun yazarı, savaşa gitmeden önce Beyazıt Numune Mektebi’nde öğretmenlik de yapmaktaydı.	Mektubun yazarı, mektubuna babasına ve annesine hitap ederek başlamıştır.
Aşağıdaki seçeneklerin hangisinde Namık Kemal'e ilişkin bilgi doğru değildir?	Orhun Yazıtları” ve “Kutadgu Bilig” ile ilgili ilk çalışmaları yapanlar arasında yer aldı.	Yeni Osmanlılar Cemiyeti’nin fikirlerini yaymak amacıyla çıkardığı Muhbir gazetesinde çalıştı.	1862 yılında Tercüme Odası’na kâtip olarak girmesiyle Batı etkisindeki kişilerle tanıştı.	Asıl adı Mehmet Kemal olan yazar 21 Aralık 1840’ta Tekirdağ’da doğdu.	1865 yılında kurulan daha sonra “Genç Osmanlılar” adını alan İttifak-ı Hamiyet isimli derneğe üye oldu.	Gönderdiğiniz metinlerde Namık Kemal hakkında bilgi bulunmamaktadır.
Önce kadın psikolojisini inceleyen aşk romanları yazan, sonra Kurtuluş Savaşı konulu eserler veren, son döneminde ise töre romanlarıyla ülkenin toplumsal gelişimini yansıtan eserlere yönelen sanatçı aşağıdakilerden hangisidir?	Halide Edip	Yakup Kadri	Refik Halit	Reşat Nuri	Ömer Seyfettin	Gönderdiğiniz metinlerde bu soruya cevap bulunmamaktadır.
Ön sözünde “Hakikiyyun mesleğinde yazılmış roman mütalaa etmemiş iseniz işte size bir tane ben takdim edeyim.” sözleriyle sunulan; köyü ve köylüyü Türk edebiyatına sokan roman aşağıdakilerden hangisidir?	Zehra	Karabibik	Taassuk-ı Talat ve Fitnat	Köylü Kızların Şarkısı	Zavallı Kız	Karabibik
“Romansa Sığmasa da RomansKürk Mantolu Madonna” adlı yazıya göre, Kürk Mantolu Madonna’nın anlatıcısının bulduğu Raif Efendi’ye ait defter, aşağıdakilerden hangisini içermektedir?	Raif Efendi’nin Almanya’da yaşadığı aşkın ve onun tüm bu silik, insanlardan uzak, yenilmiş halinin öyküsünü	Bir Anadolu ailesinin çocuğu olan Raif Efendi’nin, Almanya’da kapıldığı karşılıksız aşkın onu nasıl mahvettiğini	Savaş sonrası Almanya’sında yaşanan sosyal ve ekonomik krizler içinde bile bir aşkın ne kadar ön plana çıkabileceğini	Yurt dışında yaşayan bir gencin, kültürel farklılıklar nedeniyle aşkını evliliğe dönüştüremeyişini	Raif Efendi’nin eşi ve çocuklarıyla yaşadığı mutsuz aile hayatından bıktığını ve Almanya’daki aşkını özlediğini	Raif Efendi’nin Almanya’da yaşadığı aşkın ve onun tüm bu silik, insanlardan uzak, yenilmiş halinin öyküsünü
Nurdan Gürbilek'in "Acıların Çocuğu" adlı yazısına göre, aşağıdakilerden hangisi ağlayan çocuk posterindeki acılı çocuk imgesini yansıtan örneklerden biri değildir?	Küçük Emrah ve aynı adlı şarkı	Boynu Bükükler filmi	Kemalettin Tuğcu romanları	Primo Türk Çocuğu öyküsü	Ayşecik, Ömercik, Sezercik filmleri	Primo Türk Çocuğu öyküsü
Ceyhun Atuf Kansu, Orhan Asena'ya yazdığı mektupta kendi mesleğinin ne olduğunu da açığa vurur. Mektuba göre, Ceyhun Atuf'un mesleği aşağıdakilerden hangisidir?	Gazeteci	Tiyatro eleştirmeni	Aktör	Öğretmen	Hekim	Hekim
“Ben Burdayım - Oğuz Atay'ın Biyografik ve Kurmaca Dünyası” adlı yazıdan aşağıdakilerden hangisine ulaşılamaz?	“Ben Burdayım” kitabı, Oğuz Atay’ın iç dünyasının derinliklerine inme çabasının ürünüdür.	“Ben Burdayım” kitabı; yazarından hiçbir iz taşımayan, son derece nesnel bir eserdir.	“Ben Burdayım” kitabı, hem ciddi ve bilimsel hem de hafif ve yaşam dolu bir monografidir.	“Ben Burdayım” kitabında farklı Oğuz Atay’lar farklı biçemlerle yansıtılmak istenmiştir.	“Ben Burdayım” kitabı, Oğuz Atay’ın yaşamda ve kurmaca dünyada bıraktığı izlerden derlenmiştir.	“Ben Burdayım” kitabı; yazarından hiçbir iz taşımayan, son derece nesnel bir eserdir.
Aşağıdaki Türkçülük akımını benimsemiş Milli Edebiyat yazarlarından hangisi yayımladığı anılarıyla da ünlüdür?	Reşat Nuri	Ziya Gökalp	Halide Edip	Ali Canip Yöntem	Ömer Seyfettin	Verilen metinlerde bu soruya cevap bulunmamaktadır.
